words,counts
type diabetes LDL,4
weight type diabetes,4
ratio systolic blood,4
waist-hip ratio systolic,4
migration organization cells,4
attachment migration organization,4
waist-hip ratio HDL,4
tissues embryonic development,4
body weight BMI,4
phenotypes LDL cholesterol,4
embryonic development other,4
development other extracellular,4
mass diastolic blood,4
hip circumference waist-hip,4
blood protein measurement,4
lean mass diastolic,4
voltage-dependent sodium ion,4
weight body fat,4
cells tissues embryonic,4
fat distribution BMI-adjusted,4
phenotypes BMI-adjusted hip,4
organization cells tissues,4
waist-hip ratio triglyceride,4
BMI body height,4
measurement waist-hip ratio,4
ratio triglyceride measurement,4
receptor binding activity,4
density lipoprotein cholesterol,4
transcriptional regulation phenotypes,4
pressure BMI-adjusted waist-hip,4
Phenotypes BMI-adjusted waist,4
protein phenotypes body,4
Phenotypes inflammatory bowel,4
Phenotypes BMI body,4
force minus microtubules,4
hip circumference encodes,4
height HDL cholesterol,3
keratin intermediate filaments,3
chronic kidney disease,3
other extracellular matrix,3
weight body mass,3
lean mass waist-hip,3
diabetes total cholesterol,3
HDL cholesterol change,3
cholesterol change measurement,3
weight body height,3
body height encodes,3
body height HDL,3
type diabetes total,3
phenotypes total cholesterol,3
height BMI BMI-adjusted,3
diabetes LDL cholesterol,3
measurement coronary artery,3
measurement body weight,3
body height birth,3
height birth weight,3
autism spectrum disorder,3
type diabetes glucose,3
blood pressure triglyceride,3
circumference total cholesterol,3
calcium sarcoplasmic reticulum,3
sarcoplasmic reticulum cytoplasm,3
BMI-adjsuted hip circumference,3
waist circumference BMI,3
type diabetes functions,3
body BMI-adjusted waist-hip,3
waist circumference diastolic,3
Phenotypes bone mineral,3
BMI BMI-adjusted waist-hip,3
hip circumference LDL,3
glucose measurement BMI-adjusted,3
measurement body BMI-adjusted,3
matrix components phenotypes,3
components phenotypes body,3
protein important role,3
measurement transcriptional regulation,3
disease Crohn disease,3
Phenotypes waist-hip ratio,3
sodium ion permeability,3
ratio HDL cholesterol,3
ion permeability excitable,3
permeability excitable membranes,3
diabetes mellitus BMI-adjusted,3
mellitus body mass,3
ion binding activity,3
pressure body weight,3
protein gene phenotypes,3
body height cardiovascular,3
mass type diabetes,3
lean mass type,3
height cardiovascular disease,3
component hyaline cartilage,3
extracellular matrix components,3
mass waist-hip ratio,3
high density cholesterol,3
density cholesterol measurement,3
BMI body weight,3
measurement encodes member,3
waist-hip ratio lean,3
ratio lean body,3
encodes member keratin,3
release calcium sarcoplasmic,3
circumference body height,3
activity phenotypes BMI,3
integral component membrane,3
longitudinal BMI measurement,3
BMI appendicular lean,3
body weight type,3
body waist-hip ratio,3
mass BMI-adjusted waist-hip,3
gene family Phenotypes,3
Phenotypes multiple sclerosis,3
particle size measurement,3
transporter ABC family,3
body height waist-hip,3
mass index encodes,3
BMI body BMI-adjusted,3
RNA binding activity,3
mineral density body,3
central role immune,3
mass index body,3
role immune system,3
immune system peptides,3
phenotypes waist-hip ratio,3
multiple sclerosis body,3
minus microtubules phenotypes,3
cholesterol measurement LDL,3
produces force minus,3
pressure triglyceride measurement,3
waist circumference appendicular,3
mass index Encodes,3
gene humans mouse,2
waist circumference encodes,2
phenotypes fat body,2
cytoplasm phenotypes body,2
mellitus body BMI-adjusted,2
measurement Encodes protein,2
cholesterol measurement Encodes,2
regulation phenotypes body,2
ratio body BMI-adjusted,2
phenotypes waist circumference,2
Phenotypes birth weight,2
circumference body mass,2
response phenotypes BMI-adjusted,2
body mass BMI-adjusted,2
encodes member class,2
Phenotypes attention deficit,2
index waist-hip ratio,2
cells phenotypes BMI-adjusted,2
percentage type diabetes,2
fat percentage type,2
measurement very low,2
hip circumference BMI,2
very low density,2
BMI LDL cholesterol,2
waist-hip ratio Enables,2
system peptides extracellular,2
peptides extracellular proteins,2
proteins Phenotypes type,2
mellitus appendicular lean,2
mellitus BMI-adjusted waist-hip,2
diabetes mellitus appendicular,2
member class II,2
extracellular proteins Phenotypes,2
body height triglyceride,2
cells phenotypes triglyceride,2
fat percentage CAD,2
mellitus multiple sclerosis,2
waist circumference HDL,2
circumference HDL cholesterol,2
BMI-adjsuted waist circumference,2
height BMI-adjsuted waist,2
body height BMI-adjsuted,2
basic amino acids,2
muscle contraction Phenotypes,2
activity muscle contraction,2
mean platelet volume,2
GTPase phenotypes body,2
Parkinson disease Encodes,2
disease Encodes protein,2
encodes member family,2
phenotypes BMI transport,2
waist circumference LDL,2
Phenotypes insulin measurement,2
binding activity dynein,2
diabetes BMI-adjusted hip,2
intermediate chain binding,2
triglyceride measurement waist,2
diabetes mellitus multiple,2
birth weight BMI-adjusted,2
type diabetes triglyceride,2
ATP-dependent transporter ABC,2
height triglyceride measurement,2
deficit hyperactivity disorder,2
blood pressure role,2
type diabetes acts,2
homeostasis inorganic ion,2
ratio cardiovascular disease,2
pressure waist-hip ratio,2
blood pressure waist-hip,2
ratio diastolic blood,2
waist-hip ratio diastolic,2
waist-hip ratio cardiovascular,2
body height Encodes,2
activity Phenotypes BMI-adjusted,2
disease encodes member,2
A1 measurement body,2
Encodes protein important,2
weight Encodes protein,2
membranes phenotypes appendicular,2
attention deficit hyperactivity,2
height plays important,2
mass index waist-hip,2
sclerosis body mass,2
waist circumference Encodes,2
type diabetes obesity,2
carotid plaque build,2
actin cytoskeleton phenotypes,2
Phenotypes waist circumference,2
cytoskeleton phenotypes body,2
height body mass,2
diabetes glucose measurement,2
cholesterol measurement HDL,2
cholesterol measurement coronary,2
cells Phenotypes body,2
measurement testosterone measurement,2
mass index BMI-adjusted,2
blood pressure acts,2
cell-binding protein phenotypes,2
membranes phenotypes body,2
basement membranes phenotypes,2
glomerular basement membranes,2
component glomerular basement,2
height body fat,2
Phenotypes vital capacity,2
myosin heavy chains,2
blood pressure attachment,2
phenotypes BMI encodes,2
BMI encodes protein,2
blood insulin measurement,2
lean mass systolic,2
mass systolic blood,2
mellitus systolic blood,2
phenotypes coronary artery,2
diabetes mellitus systolic,2
BMI lean body,2
reticulum cytoplasm phenotypes,2
measurement calcium channel,2
mass gut microbiome,2
waist circumference systolic,2
microbiome measurement triglyceride,2
blood pressure blood,2
pressure blood glucose,2
activity Phenotypes multiple,2
waist circumference total,2
pressure attachment migration,2
structural component glomerular,2
major structural component,2
Phenotypes chronic kidney,2
BMI BMI-adjusted hip,2
diabetes BMI-adjusted waist,2
cholesterol measurement waist,2
microbiome measurement role,2
blood pressure plays,2
lean mass BMI,2
measurement Ischemic stroke,2
stroke coronary artery,2
Ischemic stroke coronary,2
late-onset Alzheimers disease,2
mass HDL cholesterol,2
cholesterol measurement gut,2
measurement bone mineral,2
body height plays,2
BMI microbiome measurement,2
body plays role,2
Phenotypes hemoglobin A1,2
glucose tolerance test,2
cholesterol measurement very,2
HDL cholestrol measurement,2
Phenotypes Parkinson disease,2
triglyceride measurement type,2
dibasic amino acids,2
diabetes body height,2
phenotypes BMI BMI-adjusted,2
Alzheimer disease Encodes,2
pressure BMI-adjusted waist,2
extracellular matrix phenotypes,2
ratio body fat,2
fat percentage BMI,2
total blood protein,2
protein binding activity,2
phenotypes body fat,2
neutral dibasic amino,2
Phenotypes systemic lupus,2
systemic lupus erythematosus,2
high-affinity sodium-independent transport,2
sodium-independent transport cystine,2
body mass encodes,2
mass Encodes protein,2
transport cystine neutral,2
cystine neutral dibasic,2
chain binding activity,2
diabetes triglyceride measurement,2
disease protein gene,2
type diabetes Encodes,2
BMI body fat,2
nervous system phenotypes,2
connectivity nervous system,2
proper connectivity nervous,2
type IV collagen,2
establishment proper connectivity,2
height BMI appendicular,2
microbiome measurement encodes,2
measurement encodes protein,2
BMI total cholesterol,2
measurement Encodes member,2
cholesterol measurement BMI,2
development establishment proper,2
neural development establishment,2
body mass body,2
microbiome measurement Encodes,2
encoded protein transthyretin,2
protein transthyretin homo-tetrameric,2
essential proper assembly,2
proper assembly type,2
assembly type keratin,2
odorant receptor phenotypes,2
diabetes key role,2
cell-fate determination phenotypes,2
type diabetes key,2
blood metabolite measurement,2
measurement blood metabolite,2
mass encodes member,2
ratio body mass,2
cardiovascular disease encodes,2
body weight systolic,2
weight systolic blood,2
receptor phenotypes body,2
phenotypes high density,2
channel voltage-gated subfamily,2
circumference encodes member,2
potassium channel voltage-gated,2
microbiome measurement BMI-adjusted,2
BMI-adjsuted waist-hip ratio,2
pore-forming alpha subunit,2
measurement body fat,2
distribution BMI-adjusted waist,2
cholestrol measurement total,2
circumference body BMI-adjusted,2
Phenotypes psoriasis type,2
psoriasis type diabetes,2
type keratin protein,2
keratin protein complexes,2
height waist circumference,2
TNF-related apoptosis-inducing ligand,2
weight BMI-adjusted hip,2
ligand measurement nicotine,2
measurement nicotine dependence,2
plays essential role,2
nicotine dependence symptom,2
dependence symptom count,2
symptom count alcohol,2
transcription RNA polymerase,2
count alcohol use,2
alcohol use disorder,2
Encodes protein intermediate,2
use disorder measurement,2
disorder measurement response,2
measurement response exposure,2
hip circumference forms,2
cytoskeleton plasma membrane,2
hip circumference diastolic,2
alpha chains type,2
chains type IX,2
type IX collagen,2
collagen component hyaline,2
apoptosis-inducing ligand measurement,2
Phenotypes TNF-related apoptosis-inducing,2
protein complexes formation,2
role cell adhesion,2
complexes formation keratin,2
formation keratin intermediate,2
intermediate filaments inner,2
filaments inner root,2
inner root sheath,2
channel release calcium,2
calcium channel release,2
activity negative regulation,2
height BMI-adjusted waist-hip,2
appendicualr lean mass,2
height appendicualr lean,2
body height appendicualr,2
transthyretin homo-tetrameric carrier,2
homo-tetrameric carrier protein,2
carrier protein thyroid,2
protein thyroid hormones,2
thyroid hormones plasma,2
hormones plasma cerebrospinal,2
plasma cerebrospinal fluid,2
cerebrospinal fluid Phenotypes,2
fluid Phenotypes TNF-related,2
body height waist,2
schizophrenia Encodes member,2
voltage-gated subfamily H,2
signaling phenotypes HDL,2
ubiquitin-protein ligase phenotypes,2
pressure glucose measurement,2
blood pressure glucose,2
Phenotypes blood glucose,2
protein family phenotypes,2
system phenotypes gut,2
plasma membrane Phenotypes,2
type diabetes type,2
bowel disease Crohn,2
diabetes type diabetes,2
Encodes member keratin,2
circumference voltage-dependent sodium,2
blood pressure encodes,2
microbiome measurement type,2
blood pressure systolic,2
pressure systolic blood,2
gene phenotypes body,2
ABC family transport,2
gradient phenotypes body,2
body height enables,2
hydrolysis ATP phenotypes,2
membrane hydrolysis ATP,2
type diabetes HDL,2
leaflet membrane hydrolysis,2
body height LDL,2
pressure lean body,2
encodes protein component,2
CAD Encodes protein,2
body mass Encodes,2
E3 ubiquitin-protein ligase,2
diabetes HDL cholesterol,2
blood pressure lean,2
waist-hip ratio coronary,2
microbiome measurement body,2
Phenotypes total cholesterol,2
Protein gene Phenotypes,2
microfilament motor activity,2
height LDL cholesterol,2
nuclear import signal,1
amino acids preference,1
heart Phenotypes lean,1
Phenotypes lean body,1
scoliosis corneal topography,1
idiopathic scoliosis corneal,1
genes Phenotypes adolescent,1
Enables nuclear import,1
serve targets small,1
BMI serve targets,1
circumference Enables nuclear,1
homeobox genes Phenotypes,1
targets small GTP,1
waist circumference Enables,1
highly heart Phenotypes,1
polar amino acids,1
gene Phenotypes cognitive,1
height encodes membrane-associated,1
protein highly heart,1
subfamily homeobox genes,1
NKL subfamily homeobox,1
NK-like NKL subfamily,1
integral membrane proteins,1
anorexia nervosa Protein,1
Phenotypes cognitive decline,1
receptor activity Phenotypes,1
nervosa Protein gene,1
measurement protein integral,1
encodes member F-box,1
member F-box protein,1
decline measurement protein,1
signal receptor activity,1
acids preference basic,1
preference basic amino,1
F-box protein family,1
family phenotypes BMI,1
amino acids also,1
acids also small,1
protein integral membrane,1
phenotypes BMI serve,1
body mass adolescent,1
also small polar,1
encoded protein highly,1
cognitive decline measurement,1
import signal receptor,1
small polar amino,1
index body height,1
scoliosis Protein gene,1
topography scoliosis body,1
corneal topography scoliosis,1
idiopathic scoliosis Protein,1
mass adolescent idiopathic,1
gene encodes member,1
weight anorexia nervosa,1
scoliosis body mass,1
exopeptidase activity dipeptidase,1
encodes membrane-associated protien,1
starch Phenotypes birth,1
role final steps,1
enzyme role final,1
encodes gene serine,1
mitochondrial membrane enable,1
Protein gene encodes,1
polypeptide member WD-repeat,1
gene serine glycine,1
serine glycine protein,1
membrane proteins other,1
glycine protein liver,1
inner mitochondrial membrane,1
biological activities Phenotypes,1
member WD-repeat protein,1
WD-repeat protein family,1
protein family encoded,1
Cdc42 Rac wide,1
range biological activities,1
final steps digestion,1
measurement encodes gene,1
A1 measurement encodes,1
disease encodes G-protein,1
encodes G-protein beta-subunit-like,1
wide range biological,1
G-protein beta-subunit-like polypeptide,1
mass index Protein,1
beta-subunit-like polypeptide member,1
activity dipeptidase activity,1
cysteine-type exopeptidase activity,1
dipeptidase activity proteolysis,1
activity proteolysis Phenotypes,1
enable cysteine-type exopeptidase,1
proteolysis Phenotypes hemoglobin,1
membrane enable cysteine-type,1
steps digestion starch,1
digestion starch Phenotypes,1
core inner mitochondrial,1
membrane enzyme role,1
catalytic core inner,1
Phenotypes BMI encodes,1
BMI encodes nuclear,1
birth weight anorexia,1
activities Phenotypes body,1
ABC transporters phenotypes,1
proteins other subunits,1
superfamily ABC transporters,1
member superfamily ABC,1
protien member superfamily,1
membrane-associated protien member,1
encodes nuclear transcription,1
Rac wide range,1
transcription factor NK-linked,1
small GTP binding,1
factor NK-linked NK-like,1
NK-linked NK-like NKL,1
hip circumference odorant,1
liver Phenotypes BMI,1
complex catalytic core,1
protein liver Phenotypes,1
proteins Cdc42 Rac,1
border membrane enzyme,1
brush border membrane,1
maltase-glucoamylase brush border,1
encodes maltase-glucoamylase brush,1
mass encodes maltase-glucoamylase,1
subunits complex catalytic,1
other subunits complex,1
binding proteins Cdc42,1
pressure fat body,1
circumference odorant receptor,1
family encoded protein,1
GTP binding proteins,1
blood pressure fat,1
transporters phenotypes systolic,1
nuclear transcription factor,1
encodes nucleolar RNA-associated,1
index Protein gene,1
peptides Phenotypes birth,1
proteins LDL cholesterol,1
family proteins LDL,1
zinc-finger family proteins,1
C2H2-type zinc-finger family,1
Kruppel C2H2-type zinc-finger,1
member Kruppel C2H2-type,1
encodes member Kruppel,1
lean mass encodes,1
assembly Phenotypes body,1
complex assembly Phenotypes,1
protein-containing complex assembly,1
regulation protein-containing complex,1
activity regulation protein-containing,1
binding activity regulation,1
particle receptor binding,1
ratio HDL change,1
HDL change measurement,1
change measurement waist,1
family Phenotypes preeclampsia,1
serine/threonine protein kinases,1
p21-stimulated serine/threonine protein,1
family p21-stimulated serine/threonine,1
member family p21-stimulated,1
preeclampsia encodes member,1
Phenotypes preeclampsia encodes,1
tetraspanin family Phenotypes,1
waist-hip ratio gene,1
also tetraspanin family,1
superfamily also tetraspanin,1
transmembrane superfamily also,1
member transmembrane superfamily,1
gene member transmembrane,1
ratio gene member,1
lipoprotein particle receptor,1
low-density lipoprotein particle,1
activity low-density lipoprotein,1
differences skin pigmentation,1
scoliosis encoded protein,1
idiopathic scoliosis encoded,1
index adolescent idiopathic,1
mass index adolescent,1
pigmentation Phenotypes body,1
skin pigmentation Phenotypes,1
gene differences skin,1
exposure MYPT isoforms,1
variation gene differences,1
Sequence variation gene,1
dyslexia Sequence variation,1
disease dyslexia Sequence,1
diverticular disease dyslexia,1
weight diverticular disease,1
response exposure MYPT,1
MYPT isoforms functions,1
binding activity low-density,1
body weight coronary,1
Enzyme binding activity,1
circumference Enzyme binding,1
hip circumference Enzyme,1
disease BMI-adjusted hip,1
artery disease BMI-adjusted,1
weight coronary artery,1
M20 Phenotypes body,1
isoforms functions PP1c-delta,1
MYTP2 M20 Phenotypes,1
locus MYTP2 M20,1
activity locus MYTP2,1
phosphatase activity locus,1
PP1c-delta phosphatase activity,1
functions PP1c-delta phosphatase,1
protein kinases amino-terminal,1
kinases amino-terminal Cdc42/Rac,1
amino-terminal Cdc42/Rac interactive,1
activity regulation mitotic,1
ratio multiple sclerosis,1
waist-hip ratio multiple,1
cycle Phenotypes body,1
cell cycle Phenotypes,1
mitotic cell cycle,1
regulation mitotic cell,1
Enables activity regulation,1
Encodes protein peripheral,1
height Enables activity,1
body height Enables,1
membrane Phenotypes body,1
component membrane Phenotypes,1
disease integral component,1
bowel disease integral,1
index Encodes protein,1
protein peripheral membrane,1
body height inflammatory,1
diabetes mellitus CKD,1
height body potassium,1
function phenotypes triglyceride,1
assembly function phenotypes,1
centrosome assembly function,1
CKD centrosome assembly,1
mellitus CKD centrosome,1
family Phenotypes type,1
peripheral membrane protein,1
syntrophin gene family,1
proteins syntrophin gene,1
dystrophin-related proteins syntrophin,1
dystrophin dystrophin-related proteins,1
protein dystrophin dystrophin-related,1
membrane protein dystrophin,1
height inflammatory bowel,1
filamin Phenotypes body,1
Cdc42/Rac interactive binding,1
ratio body weight,1
N-terminus binding activity,1
Enables N-terminus binding,1
exposure Enables N-terminus,1
response exposure Enables,1
index encoded protein,1
mass index encoded,1
domain Phenotypes type,1
negative regulation apoptotic,1
kinase domain Phenotypes,1
carboxyl-terminal kinase domain,1
domain carboxyl-terminal kinase,1
CRIB domain carboxyl-terminal,1
binding CRIB domain,1
interactive binding CRIB,1
binding activity negative,1
regulation apoptotic process,1
gamma filamin Phenotypes,1
binding activity endocytosis,1
specifically gamma filamin,1
genes specifically gamma,1
filamin genes specifically,1
related filamin genes,1
endocytosis related filamin,1
activity endocytosis related,1
phospholipid binding activity,1
apoptotic process protein,1
activity phospholipid binding,1
binding activity phospholipid,1
clathrin binding activity,1
stablization clathrin binding,1
protein stablization clathrin,1
process protein stablization,1
birth weight diverticular,1
venom-associated peptides Phenotypes,1
Protein gene most,1
inactivation venom-associated peptides,1
apolipoprotein B measurement,1
measurement apolipoprotein B,1
globulin measurement apolipoprotein,1
hormone-binding globulin measurement,1
sex hormone-binding globulin,1
Phenotypes sex hormone-binding,1
variants Phenotypes sex,1
transcript variants Phenotypes,1
alternatively transcript variants,1
isoforms alternatively transcript,1
gene isoforms alternatively,1
protein gene isoforms,1
chromosome protein gene,1
gene chromosome protein,1
adjacent gene chromosome,1
B measurement gene,1
measurement gene similar,1
gene similar voltage-gated,1
S6 Phenotypes body,1
damage stress increase,1
survival damage stress,1
cell survival damage,1
highly cell survival,1
protein highly cell,1
Encodes protein highly,1
S1 S6 Phenotypes,1
similar voltage-gated Ca,1
domains S1 S6,1
only domains S1,1
channels only domains,1
Na+ channels only,1
Ca Na+ channels,1
voltage-gated Ca Na+,1
gene adjacent gene,1
subunit gene adjacent,1
regulatory subunit gene,1
member nitrilase family,1
nitrilases enzymes nitriles,1
plant nitrilases enzymes,1
bacterial plant nitrilases,1
homology bacterial plant,1
family homology bacterial,1
nitrilase family homology,1
encodes member nitrilase,1
nitriles organic amides,1
index encodes member,1
p53 Phenotypes body,1
inhibitors p53 Phenotypes,1
evolutionarily inhibitors p53,1
most evolutionarily inhibitors,1
gene most evolutionarily,1
enzymes nitriles organic,1
organic amides corresponding,1
phosphoinositide-3-kinase regulatory subunit,1
waist-hip ratio odorant,1
distantly phosphoinositide-3-kinase regulatory,1
subunit distantly phosphoinositide-3-kinase,1
regulatory subunit distantly,1
disease regulatory subunit,1
cardiovascular disease regulatory,1
ratio odorant receptor,1
disease waist-hip ratio,1
amides corresponding carboxylic,1
Alzheimer disease waist-hip,1
Phenotypes Alzheimer disease,1
ammonia Phenotypes Alzheimer,1
acids ammonia Phenotypes,1
carboxylic acids ammonia,1
corresponding carboxylic acids,1
stress increase DNA,1
increase DNA polymerase,1
DNA polymerase epsilon,1
Olfactory receptor gene,1
activity dipeptide import,1
transporter activity dipeptide,1
enables transmembrane transporter,1
height enables transmembrane,1
gene Phenotypes body,1
receptor gene Phenotypes,1
gene Olfactory receptor,1
import plasma membrane,1
protein gene Olfactory,1
Crohn disease protein,1
space Phenotypes inflammatory,1
extracellular space Phenotypes,1
active extracellular space,1
activity active extracellular,1
dipeptide import plasma,1
membrane Phenotypes type,1
oligosaccharide biding activity,1
mature protease mast,1
proteins inactivation venom-associated,1
endogenous proteins inactivation,1
degradation endogenous proteins,1
cells degradation endogenous,1
mast cells degradation,1
protease mast cells,1
proteolytically mature protease,1
multiple sclerosis conotruncal,1
preproprotein proteolytically mature,1
Encodes preproprotein proteolytically,1
malformations Encodes preproprotein,1
heart malformations Encodes,1
conotruncal heart malformations,1
sclerosis conotruncal heart,1
biding activity active,1
density oligosaccharide biding,1
polymerase epsilon activity,1
morphogenesis Phenotypes body,1
encodes component dystrophin-glycoprotein,1
syndrome encodes component,1
ovary syndrome encodes,1
polycystic ovary syndrome,1
index polycystic ovary,1
mass index polycystic,1
cell morphogenesis Phenotypes,1
component dystrophin-glycoprotein complex,1
epithelial cell morphogenesis,1
length epithelial cell,1
telomere length epithelial,1
maintenance telomere length,1
activity maintenance telomere,1
epsilon activity maintenance,1
height receptor amino,1
dystrophin-glycoprotein complex DGC,1
mineral density oligosaccharide,1
actin cytoskeleton extracellular,1
muscle Phenotypes bone,1
striated muscle Phenotypes,1
expression striated muscle,1
matrix expression striated,1
extracellular matrix expression,1
cytoskeleton extracellular matrix,1
linking actin cytoskeleton,1
complex DGC critical,1
membranes linking actin,1
fiber membranes linking,1
muscle fiber membranes,1
stability muscle fiber,1
critical stability muscle,1
DGC critical stability,1
receptor amino acids,1
filament organization contraction,1
body height receptor,1
activity structural molecule,1
activity chromatin binding,1
binding activity chromatin,1
calcium ion binding,1
weight calcium ion,1
body weight calcium,1
molecule activity Phenotypes,1
structural molecule activity,1
binding activity structural,1
body height stereocilia,1
cytoskeletal protein binding,1
activity cytoskeletal protein,1
binding activity cytoskeletal,1
domain binding activity,1
PH domain binding,1
enable PH domain,1
well enable PH,1
chromatin binding activity,1
height stereocilia organization,1
assembly cytotoxic granules,1
activity RNA II-specific,1
region sequence-specific DNA,1
regulatory region sequence-specific,1
transcription regulatory region,1
II transcription regulatory,1
polymerase II transcription,1
II-specific RNA polymerase,1
RNA II-specific RNA,1
repressor activity RNA,1
stereocilia organization hair,1
transcription repressor activity,1
DNA-binding transcription repressor,1
enable DNA-binding transcription,1
formation enable DNA-binding,1
bundle formation enable,1
hair bundle formation,1
organization hair bundle,1
as well enable,1
cortex as well,1
localization cortex as,1
II member motor-domain,1
idiopathic cardiomyopathy body,1
circumference idiopathic cardiomyopathy,1
hip circumference idiopathic,1
weight BMI-adjusted waist-hip,1
superfamily Phenotypes body,1
motor-domain superfamily Phenotypes,1
member motor-domain superfamily,1
myosin II member,1
protein localization cortex,1
chain myosin II,1
heavy chain myosin,1
encodes heavy chain,1
circumference encodes heavy,1
killer cells Phenotypes,1
natural killer cells,1
granules natural killer,1
cardiomyopathy body weight,1
body weight encodes,1
weight encodes protein,1
protein component conserved,1
regulation protein localization,1
positive regulation protein,1
index positive regulation,1
mass index positive,1
modification Phenotypes body,1
glycoprotein modification Phenotypes,1
trafficking glycoprotein modification,1
membrane trafficking glycoprotein,1
intracellular membrane trafficking,1
complex intracellular membrane,1
COG complex intracellular,1
Golgi COG complex,1
oligomeric Golgi COG,1
conserved oligomeric Golgi,1
component conserved oligomeric,1
sequence-specific DNA binding,1
DNA binding activity,1
body height microfilament,1
activity lipid transport,1
peroxide activity TPO,1
generates peroxide activity,1
CAD generates peroxide,1
ratio CAD generates,1
waist-hip ratio CAD,1
transport Phenotypes BMI-adjusted,1
lipid transport Phenotypes,1
transporter activity lipid,1
segment morphogenesis rod,1
Myopia transmembrane transporter,1
disorder Myopia transmembrane,1
spectrum disorder Myopia,1
mellitus autism spectrum,1
diabetes mellitus autism,1
photoreceptors Phenotypes BMI-adjusted,1
rod photoreceptors Phenotypes,1
activity TPO LPO,1
TPO LPO phenotypes,1
LPO phenotypes chronic,1
phenotypes chronic kidney,1
development hearing vision,1
role development hearing,1
essential role development,1
mass essential role,1
lean mass essential,1
testosterone measurement BMI-adjusted,1
height testosterone measurement,1
body height testosterone,1
eye phenotypes body,1
vitreous eye phenotypes,1
cartilage vitreous eye,1
hyaline cartilage vitreous,1
stuctural component hyaline,1
disease stuctural component,1
kidney disease stuctural,1
morphogenesis rod photoreceptors,1
outer segment morphogenesis,1
